company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2026-03-04,2026-03-12,False,212500.0,212500.0,4,True,False,06b,Pat Carey (Director); Jeff Galletly (Executive Officer/Director); Rose Registre (Director); Claudia Lezcano (Director); Ashley Davis (Director); Daniel Nauth (Director); Igor Kostioutchenko (Executive Officer); Tim Driscoll (Director),021-576305,0001062993-26-001398,https://www.sec.gov/Archives/edgar/data/2003006/000106299326001398/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2026-03-06,2026-03-18,False,100000.0,100000.0,1,True,False,06b,Tim Driscoll (Director); Ashley Davis (Director); Daniel Nauth (Director); Claudia Lezcano (Director); Igor Kostioutchenko (Executive Officer); Pat Carey (Director); Rose Registre (Director); Jeff Galletly (Executive Officer/Director),021-576906,0001062993-26-001514,https://www.sec.gov/Archives/edgar/data/2003006/000106299326001514/
"Bryn Pharma, Inc.",1746919,Lebanon,08833,Corporation,overFiveYears,False,Other Health Care,Decline to Disclose,2025-04-10,2025-08-14,False,4692830.0,4692830.0,105,False,False,06b,Anne Whitaker (Director); Michael Kaseta (Director); Jeff Hartness (Director); Steven Hartman (Director); Joshua Ziel (Executive Officer); Michelle Lobel (Director); Steven Killmeyer (Executive Officer); Marc Rapaport (Director); Lisa Licht (Director); Sandra Loreaux (Director); James Borneman (Executive Officer); Kate Soper Diaz (Director),021-554789,0001746919-25-000007,https://www.sec.gov/Archives/edgar/data/1746919/000174691925000007/
Buckle Corp.,1818302,Jersey City,07310,Corporation,2019,True,Other Technology,Decline to Disclose,2021-07-16,2021-11-04,False,59999965.0,59999965.0,36,True,False,06b,Vikas Singhal (Director); Dustin Walsey (Executive Officer/Director); Jonathan Kalman (Director); Kristi Matus (Executive Officer); Jeffrey Nash (Executive Officer); Cort Ahl (Director); Andrew Rear (Director); Bryson Koehler (Director); Marty Young (Executive Officer/Director),021-419802,0001193805-21-001529,https://www.sec.gov/Archives/edgar/data/1818302/000119380521001529/
"Business Tools, LLC",1871522,Pine Brook,07058,Limited Liability Company,2021,True,Other Technology,Decline to Disclose,2021-06-08,2021-07-30,False,150000.0,150000.0,1,True,False,06b,Gallant Dill (Executive Officer),021-408281,0000908834-21-000030,https://www.sec.gov/Archives/edgar/data/1871522/000090883421000030/
"CALADRIUS BIOSCIENCES, INC.",320017,Basking Ridge,07920,Corporation,overFiveYears,False,Biotechnology,Decline to Disclose,2021-01-25,2021-02-01,False,25000000.0,25000000.0,23,True,False,06b,Steven Klosk (Director); Gregory Brown (Director); Steven Myers (Director); Cynthia Schwalm (Director); Peter Traber (Director); Anne Whitaker (Director); David Mazzo (Executive Officer/Director); Michael Davidson (Director),021-388000,0000320017-21-000010,https://www.sec.gov/Archives/edgar/data/320017/000032001721000010/
"CANCER GENETICS, INC",1349929,Rutherford,07070,Corporation,overFiveYears,False,Biotechnology,Decline to Disclose,2021-02-01,2021-02-03,False,10000000.0,10000000.0,6,True,False,06b,John Roberts (Executive Officer); Howard McLeod (Director); Geoffrey Harris (Director); Franklyn Prendergast (Director); Edmund Cannon (Director),021-388238,0001493152-21-002458,https://www.sec.gov/Archives/edgar/data/1349929/000149315221002458/
CB World Management LLC,1926549,Iselin,08830,Limited Liability Company,2020,True,Other,Decline to Disclose,,2023-11-08,False,,0.0,0,True,False,06b,David Sheffer (Director); Anthony Arnold (Director); Mutian Rui (Director); Michael Choe (Director); Lee Becker (Director); David Katz (Director); Tom Ealy (Director); Richard Eknoian (Executive Officer/Director),021-496828,0001926549-23-000004,https://www.sec.gov/Archives/edgar/data/1926549/000192654923000004/
CB World Management LLC,1926549,Iselin,08830,Limited Liability Company,2020,True,Other,Decline to Disclose,2024-11-01,2024-11-08,False,,19008599.0,3,True,False,06b,David Katz (Director); Thomas Ealy (Director); Beat Cabiallavetta (Director); Michael Choe (Director); Richard Eknoian (Executive Officer/Director); Anthony Arnold (Director); David Sheffer (Director); Mutian Rui (Director),021-528979,0001926549-24-000001,https://www.sec.gov/Archives/edgar/data/1926549/000192654924000001/
CENNTRO ELECTRIC GROUP Ltd,1707919,Freehold,07728,Corporation,2017,True,Manufacturing,Decline to Disclose,2022-07-20,2022-08-04,False,,58300000.0,5,True,True,06b,Peter Wang (Executive Officer/Director); Tony Tsai (Executive Officer); Joe Tong (Director); Chris Thorne (Director); Wei Zhong (Executive Officer); Benjamin Ge (Director); Edmond Cheng (Executive Officer); Marianne McInerney (Executive Officer); Justin Davis-Rice (Director),021-454939,0001567619-22-014942,https://www.sec.gov/Archives/edgar/data/1707919/000156761922014942/
"CERTIFICIAL, INC.",1867626,Jersey City,07302,Corporation,2021,True,Other Technology,Decline to Disclose,2021-05-20,2021-06-21,False,5805082.0,5805082.0,8,True,False,06b,ROBERT BLANCHETTE (Executive Officer/Director); PETER TERESI (Executive Officer/Director); MATTHEW PERLMAN (Director); TOBIAS WALTER (Director),021-403522,0001867626-21-000001,https://www.sec.gov/Archives/edgar/data/1867626/000186762621000001/
"CHP Cedar SPV II, LLC",1850925,Summit,07901,Limited Liability Company,2021,True,Other,Decline to Disclose,2021-03-04,2021-03-16,False,2247192.0,2247192.0,15,True,False,06b,"James Olsen (Executive Officer); -- Concord Management Services, LLC (Promoter)",021-392399,0000897069-21-000151,https://www.sec.gov/Archives/edgar/data/1850925/000089706921000151/
